"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","RWA.NDTMFI.NUM.A","OBS_VALUE","Rwanda","Non-deposit taking microfinance institutions","Number","Annual","Units","2","2","","4","8","15","22","67"
"IMF.STA:FAS(4.0.0)","RWA.FA22_NDTMFI.NUM.A","OBS_VALUE","Rwanda","Branches excluding headquarters, Non-deposit taking microfinance institutions","Number","Annual","Units","2","2","","","","30","50","36"
"IMF.STA:FAS(4.0.0)","RWA.LOANACC_NDTMFI.NUM.A","OBS_VALUE","Rwanda","Loan accounts, Non-deposit taking microfinance institutions","Number","Annual","Units","37","118","","","1423","11446","11448","17184"
"IMF.STA:FAS(4.0.0)","RWA.FA10N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of all microfinance institution branches","Per 1,000 square km","Annual","Units","7.174706120794488","7.498986623429266","8.99878394811512","8.917713822456425","9.647344953384678","10.7823267126064","13.41710579651398","16.2545601945683"
"IMF.STA:FAS(4.0.0)","RWA.FA30_COMBANK.NUM.A","OBS_VALUE","Rwanda","Deposit accounts, Commercial banks","Number","Annual","Units","1713909","2945341","3365025.3","4090477","5009115","5351802","8082771","6085442"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_NDTMFI_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Non-deposit taking microfinance institutions, Assets","Domestic currency","Annual","Millions","188.827286","272.738966","","","16172","33245","35220","44979"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_MFI.POGDP.A","OBS_VALUE","Rwanda","Outstanding loans, All Microfinance institutions","Percent of GDP","Annual","Units","0.5647267384828438","0.6148871657100856","0.6703533519511173","0.7118192933986662","0.8746230466965183","1.010695724390233","1.072007698785035","1.635339146358342"
"IMF.STA:FAS(4.0.0)","RWA.FA60.POGDP.A","OBS_VALUE","Rwanda","Value of mobile and internet banking transactions (during the reference year)","Percent of GDP","Annual","Units","18.90488528080478","25.07622407353705","25.37502758936044","27.50331600025091","36.23758567120534","61.0686443148688","94.64835799350415","136.4619012637474"
"IMF.STA:FAS(4.0.0)","RWA.FA25.NUM.A","OBS_VALUE","Rwanda","Debit cards","Number","Annual","Units","754806","883755","555243","471898","686309","532564","540081","545288"
"IMF.STA:FAS(4.0.0)","RWA.FA1.NUM.A","OBS_VALUE","Rwanda","Average number of mobile money transactions per active mobile money account","Number","Annual","Units","66.59565026634429","64.33459546832551","80.588974187761","149.5921217100913","178.5195943876108","252.0047420131464","328.4178400723983","353.9304168279325"
"IMF.STA:FAS(4.0.0)","RWA.FA35_COMBANK.NUM.A","OBS_VALUE","Rwanda","Mobile and internet banking transactions (during the reference year), Commercial banks","Number","Annual","Units","3422351.07","3975990.5","3351551","7094633","8365411","21500458","28540957","38722664"
"IMF.STA:FAS(4.0.0)","RWA.FA46N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of other deposit taker branches","Per 1,000 square km","Annual","Units","4.783137413862991","4.742602351033644","4.702067288204297","5.026347790839076","5.066882853668423","3.283340089177138","3.283340089177138","3.56708552898257"
"IMF.STA:FAS(4.0.0)","RWA.ITS_S128_L.XDC.A","OBS_VALUE","Rwanda","Technical Reserves, Insurance corporations, Liabilities","Domestic currency","Annual","Millions","78011.1502870148","94006","99083","114471","135328","147309","177345","206739"
"IMF.STA:FAS(4.0.0)","RWA.FA36_COMBANK.XDC.A","OBS_VALUE","Rwanda","Value of mobile and internet banking transactions (during the reference year), Commercial banks","Domestic currency","Annual","Millions","1454541.87350512","2081075.83586284","2361907.56801767","2639493.23654408","3965479","8378618","15736236","25634914"
"IMF.STA:FAS(4.0.0)","RWA.FA24.NUM.A","OBS_VALUE","Rwanda","Credit cards","Number","Annual","Units","3679","3638","3687","2236","5155","7230","14419","5523"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_ODT.POGDP.A","OBS_VALUE","Rwanda","Outstanding loans, Other deposit takers","Percent of GDP","Annual","Units","2.426248092335443","2.675473711785432","2.653129435601869","2.968244215754746","3.515754363520058","3.750809037900875","3.748736918080115","3.484418750731951"
"IMF.STA:FAS(4.0.0)","RWA.OUTD_ODT.POGDP.A","OBS_VALUE","Rwanda","Outstanding deposits, Other deposit takers","Percent of GDP","Annual","Units","0.5552998280919548","0.5668440100231642","0.4713892710023743","0.4585273511409816","3.946778762679338","3.769526239067055","3.602147239263804","2.85816112512909"
"IMF.STA:FAS(4.0.0)","RWA.FA3_S128.NUM.A","OBS_VALUE","Rwanda","Policy holders, Insurance corporations","Number","Annual","Units","669413","421899","687903","868602","987360","845215","1092166","1706015"
"IMF.STA:FAS(4.0.0)","RWA.LOANACC_DTMFI.NUM.A","OBS_VALUE","Rwanda","Loan accounts, Deposit taking microfinance institutions","Number","Annual","Units","36666","46239","81655","138089","77344","87523","100152","227574"
"IMF.STA:FAS(4.0.0)","RWA.FA29_CUCC.NUM.A","OBS_VALUE","Rwanda","Depositors, Credit unions and credit cooperatives","Number","Annual","Units","2843424","2974835","3187269","3560968","3950353","4236124","4796456","2557433"
"IMF.STA:FAS(4.0.0)","RWA.FA30_CUCC.NUM.A","OBS_VALUE","Rwanda","Deposit accounts, Credit unions and credit cooperatives","Number","Annual","Units","2843424","2974835","3187269","3560968","3950353","4236124","4796456","3007780"
"IMF.STA:FAS(4.0.0)","RWA.FA21_COMBANK.NUM.A","OBS_VALUE","Rwanda","Borrowers, Commercial banks","Number","Annual","Units","142879","203278","298014","391582","431773","743501","1173182","875988"
"IMF.STA:FAS(4.0.0)","RWA.FA65.XDC.A","OBS_VALUE","Rwanda","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","1384685.53439154","1808943.33716827","2349788","7176619.576864","10439128.984559","14602901","20776838","30127667.4732988"
"IMF.STA:FAS(4.0.0)","RWA.FA29_COMBANK.NUM.A","OBS_VALUE","Rwanda","Depositors, Commercial banks","Number","Annual","Units","1481574","1966352","1986431","2238095","2320671","3093679","4443502","3999783"
"IMF.STA:FAS(4.0.0)","RWA.FA57N.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of registered mobile money agent outlets","Per 100,000 adults","Annual","Units","1150.789348279134","1442.444964140817","1275.942327235575","1650.036485639778","1517.715425398526","1785.865100478676","1866.660897091455","2521.018566213523"
